year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2019,2019-05-01,DIS,130.63253784179688,-19.73,1.58,-21.31,-12.07,15.19,-27.26,38.07,48.27,-10.2,-17.15,48.31,-65.46,-25.33,50.4,-75.73,-16.14,87.56,-103.7
2019,2019-06-03,BAR.BR,18.885087966918945,1.37,14.5,-13.13,-19.82,35.69,-55.51,-3.98,58.72,-62.7,-7.89,56.7,-64.59,18.41,66.49,-48.08,-39.69,108.55,-148.24
2019,2019-07-01,BAR.BR,21.754880905151367,-16.55,6.38,-22.93,-33.0,29.21,-62.21,-9.85,49.87,-59.72,-13.66,33.96,-47.62,0.39,60.16,-59.77,-47.42,101.8,-149.22
2019,2019-07-01,GNRC,70.5,72.95,6.38,66.57,214.0,29.21,184.79,488.87,49.87,439.0,198.7,33.96,164.74,113.62,60.16,53.46,95.79,101.8,-6.01
2019,2019-07-01,CASY,151.05027770996094,-4.58,6.38,-10.96,14.51,29.21,-14.7,25.1,49.87,-24.77,19.74,33.96,-14.22,58.53,60.16,-1.63,142.83,101.8,41.03
2019,2019-08-01,CRUS,57.08000183105469,20.06,12.96,7.1,71.44,31.23,40.21,39.65,53.63,-13.98,47.23,45.3,1.93,39.91,62.43,-22.52,97.72,89.86,7.86
2019,2019-08-01,TER,53.21874237060547,63.34,12.96,50.38,116.29,31.23,85.06,134.07,53.63,80.44,82.96,45.3,37.66,99.81,62.43,37.38,117.13,89.86,27.27
2019,2019-08-01,MANH,83.45999908447266,14.77,12.96,1.81,38.23,31.23,7.0,92.64,53.63,39.01,66.97,45.3,21.67,125.09,62.43,62.66,186.2,89.86,96.34
2019,2019-08-01,GNRC,70.91999816894531,122.19,12.96,109.23,264.82,31.23,233.59,464.02,53.63,410.39,275.99,45.3,230.69,56.19,62.43,-6.24,100.63,89.86,10.77
2019,2019-08-01,CASY,155.5065460205078,-1.13,12.96,-14.09,15.45,31.23,-15.78,23.07,53.63,-30.56,28.37,45.3,-16.93,55.33,62.43,-7.1,137.2,89.86,47.34
2019,2019-08-01,WST,134.70025634765625,96.58,12.96,83.62,117.41,31.23,86.18,204.24,53.63,150.61,148.96,45.3,103.66,172.14,62.43,109.71,122.52,89.86,32.66
2019,2019-09-03,MTZ,62.04999923706055,-23.63,23.7,-47.33,39.76,33.25,6.51,43.43,60.86,-17.43,27.86,43.15,-15.29,54.09,64.87,-10.78,62.72,104.53,-41.81
2019,2019-09-03,GNRC,73.79000091552734,161.89,23.7,138.19,314.31,33.25,281.06,494.54,60.86,433.68,215.77,43.15,172.62,59.66,64.87,-5.21,96.86,104.53,-7.67
2019,2019-09-03,WST,142.14759826660156,95.21,23.7,71.51,78.46,33.25,45.21,214.61,60.86,153.75,106.0,43.15,62.85,181.56,64.87,116.69,109.95,104.53,5.42
2019,2019-10-01,MTZ,63.61000061035156,-33.66,16.41,-50.07,49.02,40.31,8.71,35.64,51.28,-15.64,-0.17,27.81,-27.98,5.22,53.24,-48.02,97.55,109.18,-11.63
2019,2019-10-01,TER,56.5292854309082,37.52,16.41,21.11,123.29,40.31,82.98,89.55,51.28,38.27,30.99,27.81,3.18,72.54,53.24,19.3,126.8,109.18,17.62
2019,2019-10-01,JBL,33.88557434082031,-1.08,16.41,-17.49,53.55,40.31,13.24,69.7,51.28,18.42,68.67,27.81,40.86,274.35,53.24,221.11,252.75,109.18,143.57
2019,2019-11-01,MUSA,109.96373748779295,5.69,9.94,-4.25,21.93,39.48,-17.55,45.75,55.96,-10.21,173.39,28.49,144.9,240.01,51.34,188.67,343.31,103.5,239.81
2019,2019-11-01,UFPI,47.686988830566406,2.32,9.94,-7.62,71.56,39.48,32.08,64.69,55.96,8.73,37.93,28.49,9.44,109.63,51.34,58.29,157.96,103.5,54.46
2019,2019-11-01,LAD,152.33883666992188,51.17,9.94,41.23,141.2,39.48,101.72,106.96,55.96,51.0,28.97,28.49,0.48,70.91,51.34,19.57,126.85,103.5,23.35
2019,2019-11-01,RH,175.83999633789062,94.0,9.94,84.06,287.37,39.48,247.89,275.02,55.96,219.06,33.06,28.49,4.57,36.56,51.34,-14.78,88.94,103.5,-14.56
2019,2019-11-01,LRCX,25.76012420654297,28.43,9.94,18.49,124.71,39.48,85.23,112.13,55.96,56.17,47.97,28.49,19.48,140.34,51.34,89.0,192.43,103.5,88.93
2019,2019-11-01,JBL,36.07611846923828,-8.28,9.94,-18.22,42.6,39.48,3.12,70.48,55.96,14.52,74.79,28.49,46.3,253.88,51.34,202.54,255.53,103.5,152.03
2019,2019-11-01,RS,104.201416015625,-3.49,9.94,-13.43,50.53,39.48,11.05,33.34,55.96,-22.62,79.53,28.49,51.04,143.1,51.34,91.76,171.44,103.5,67.94
2019,2019-12-02,RH,199.25999450683597,127.79,19.72,108.07,206.91,38.01,168.9,183.48,49.43,134.05,41.12,37.17,3.95,45.67,56.2,-10.53,88.73,110.64,-21.91
2019,2019-12-02,MUSA,112.9846649169922,11.09,19.72,-8.63,16.57,38.01,-21.44,51.71,49.43,2.28,151.1,37.17,113.93,221.04,56.2,164.84,374.12,110.64,263.48
2019,2019-12-02,CRUS,70.86000061035156,14.85,19.72,-4.87,8.21,38.01,-29.8,14.07,49.43,-35.36,6.04,37.17,-31.13,8.69,56.2,-47.51,46.34,110.64,-64.3
2019,2019-12-02,JBL,37.5482177734375,1.24,19.72,-18.48,48.41,38.01,10.4,53.05,49.43,3.62,91.59,37.17,54.42,205.64,56.2,149.44,262.48,110.64,151.84
2019,2019-12-02,LAD,152.18067932128906,89.77,19.72,70.05,114.52,38.01,76.51,79.07,49.43,29.64,50.42,37.17,13.25,82.3,56.2,26.1,148.02,110.64,37.38
