rank,ticker,price,sma50,sma200,pct_above_200sma,rsi14,pattern_type,bottom1_date,bottom2_date,bottom3_date,bottom1_price,bottom2_price,bottom3_price,avg_bottom,bottom_variation_pct,neckline,pattern_span_days,breakout_date,days_since_breakout,pct_above_neckline,pct_to_neckline,volume_ratio,name,indices,region,score,cohort_date,entry_price,price_1m,return_1m,spy_return_1m,alpha_1m,price_100d,return_100d,spy_return_100d,alpha_100d,price_3m,return_3m,spy_return_3m,alpha_3m,price_6m,return_6m,spy_return_6m,alpha_6m,price_yearend,return_yearend,spy_return_yearend,alpha_yearend
4,SDLF.L,484.57,446.48,382.85,26.6,60.5,triple_bottom_breakout,2011-10-06 07:00:00,2012-07-26 07:00:00,2012-10-29 08:00:00,329.41,337.83,358.64,341.96,4.88,450.35,267,2013-01-30 08:00:00,22,7.6,,8.5,Standard Life,STOXX 600,Europe,0.36386666666666667,2013-03-01,484.5721130371094,500.2884216308594,3.24,3.56,-0.32,549.5218505859375,13.4,11.87,1.53,495.7436828613281,2.31,7.93,-5.62,583.2279052734375,20.36,8.98,11.38,551.2316284179688,13.76,23.87,-10.11
5,BSX,7.37,6.77,5.86,25.7,57.1,triple_bottom_breakout,2011-08-10 13:30:00,2012-06-28 13:30:00,2012-12-31 14:30:00,5.88,5.48,5.53,5.63,4.44,6.9,349,2013-01-29 14:30:00,22,6.81,,4.17,Boston Scientific,S&P 500,US,0.28765,2013-03-01,7.369999885559082,7.889999866485596,7.06,3.56,3.5,9.609999656677246,30.39,11.87,18.52,9.239999771118164,25.37,7.93,17.44,10.65999984741211,44.64,8.98,35.66,12.020000457763672,63.09,23.87,39.22
1,NBIX,11.8,10.58,8.4,40.4,62.5,triple_bottom_breakout,2011-05-05 13:30:00,2012-09-21 13:30:00,2012-12-31 14:30:00,7.05,7.37,7.33,7.25,2.76,9.98,416,2013-02-05 14:30:00,37,18.24,,8.8,Neurocrine Biosciences,S&P MidCap 400,US,0.5122666666666666,2013-04-01,11.800000190734863,11.539999961853027,-2.2,2.33,-4.53,14.979999542236328,26.95,6.01,20.94,13.380000114440918,13.39,3.34,10.05,11.449999809265137,-2.97,9.34,-12.31,9.34000015258789,-20.85,20.21,-41.06
2,TSLA,2.93,2.48,2.17,35.2,74.9,triple_bottom_breakout,2011-07-18 13:30:00,2012-08-02 13:30:00,2012-10-15 13:30:00,1.78,1.7,1.79,1.76,3.1,2.66,315,2013-04-01 13:30:00,0,9.96,,7.64,"Tesla, Inc.",S&P 500,US,0.42213333333333336,2013-04-01,2.9286670684814453,3.5993330478668213,22.9,2.33,20.57,9.857333183288574,236.58,6.01,230.57,7.157332897186279,144.39,3.34,141.05,12.726667404174805,334.55,9.34,325.21,10.028667449951172,242.43,20.21,222.22
3,SDLF.L,505.77,474.2,398.04,27.1,61.6,triple_bottom_breakout,2011-10-06 07:00:00,2012-07-26 07:00:00,2012-10-29 08:00:00,329.41,337.83,358.64,341.96,4.88,450.35,267,2013-01-30 08:00:00,41,12.31,,8.5,Standard Life,STOXX 600,Europe,0.3899166666666667,2013-04-01,505.77215576171875,480.59490966796875,-4.98,2.33,-7.31,564.2919311523438,11.57,6.01,5.56,484.7607116699219,-4.15,3.34,-7.49,561.8397216796875,11.09,9.34,1.75,551.2316284179688,8.99,20.21,-11.22
1,VRTX,76.83,56.64,50.86,51.1,68.6,triple_bottom_breakout,2011-09-06 13:30:00,2012-07-31 13:30:00,2013-02-26 14:30:00,43.25,46.03,43.69,44.32,3.85,66.1,369,2013-04-19 13:30:00,8,16.23,,14.85,Vertex Pharmaceuticals,S&P 500,US,0.64565,2013-05-01,76.83000183105469,80.33000183105469,4.56,3.27,1.29,75.58999633789062,-1.61,8.45,-10.06,79.80000305175781,3.87,7.15,-3.28,76.08999633789062,-0.96,13.08,-14.04,74.30000305175781,-3.29,18.51,-21.8
2,TSLA,3.55,2.75,2.28,56.0,71.4,triple_bottom_breakout,2011-07-18 13:30:00,2012-08-02 13:30:00,2012-10-15 13:30:00,1.78,1.7,1.79,1.76,3.1,2.66,315,2013-04-01 13:30:00,22,33.37,,7.64,"Tesla, Inc.",S&P 500,US,0.6263333333333333,2013-05-01,3.552000045776367,6.517333030700684,83.48,3.27,80.21,12.074000358581543,239.92,8.45,231.47,8.95199966430664,152.03,7.15,144.88,10.964667320251465,208.69,13.08,195.61,10.028667449951172,182.34,18.51,163.83
3,NBIX,11.0,11.45,8.86,24.2,37.4,triple_bottom_breakout,2011-05-05 13:30:00,2012-09-21 13:30:00,2012-12-31 14:30:00,7.05,7.37,7.33,7.25,2.76,9.98,416,2013-02-05 14:30:00,59,10.22,,8.8,Neurocrine Biosciences,S&P MidCap 400,US,0.39116666666666666,2013-05-01,11.0,12.930000305175781,17.55,3.27,14.28,11.0,0.0,8.45,-8.45,13.989999771118164,27.18,7.15,20.03,10.670000076293945,-3.0,13.08,-16.08,9.34000015258789,-15.09,18.51,-33.6
1,TSLA,6.17,4.12,2.67,131.4,60.6,triple_bottom_breakout,2011-07-18 13:30:00,2012-08-02 13:30:00,2012-10-15 13:30:00,1.78,1.7,1.79,1.76,3.1,2.66,315,2013-04-01 13:30:00,44,131.76,,7.64,"Tesla, Inc.",S&P 500,US,0.8463333333333333,2013-06-03,6.172667026519775,7.8546671867370605,27.25,-1.39,28.64,10.966667175292969,77.66,7.3,70.36,11.266667366027832,82.53,0.1,82.43,8.485333442687988,37.47,11.25,26.22,10.028667449951172,62.47,14.14,48.33
2,VRTX,79.33,69.56,53.92,47.1,56.7,triple_bottom_breakout,2011-09-06 13:30:00,2012-07-31 13:30:00,2013-02-26 14:30:00,43.25,46.03,43.69,44.32,3.85,66.1,369,2013-04-19 13:30:00,30,20.02,,14.85,Vertex Pharmaceuticals,S&P 500,US,0.6446,2013-06-03,79.33000183105469,79.5199966430664,0.24,-1.39,1.63,75.61000061035156,-4.69,7.3,-11.99,75.1500015258789,-5.27,0.1,-5.37,69.41999816894531,-12.49,11.25,-23.74,74.30000305175781,-6.34,14.14,-20.48
3,BYD,12.23,10.13,7.03,74.1,59.6,triple_bottom_breakout,2011-08-23 13:30:00,2012-07-25 13:30:00,2012-11-15 14:30:00,4.91,5.17,4.75,4.94,4.59,9.75,310,2013-04-24 13:30:00,27,25.48,,4.75,Boyd Gaming,S&P MidCap 400,US,0.6311666666666667,2013-06-03,12.23399829864502,10.339640617370605,-15.48,-1.39,-14.09,12.728583335876465,4.04,7.3,-3.26,11.310148239135742,-7.55,0.1,-7.65,10.684916496276855,-12.66,11.25,-23.91,10.507616996765137,-14.11,14.14,-28.25
4,LOPE,31.97,27.32,24.24,31.9,65.9,triple_bottom_breakout,2010-05-14 13:30:00,2013-03-04 14:30:00,2013-05-02 13:30:00,24.09,22.99,24.3,23.79,3.38,27.18,746,2013-05-08 13:30:00,17,17.62,,5.07,Grand Canyon Education,S&P MidCap 400,US,0.3983,2013-06-03,31.969999313354492,33.5,4.79,-1.39,6.18,43.65999984741211,36.57,7.3,29.27,34.5099983215332,7.94,0.1,7.84,45.540000915527344,42.45,11.25,31.2,43.599998474121094,36.38,14.14,22.24
5,SVT.L,2030.61,1825.14,1671.55,21.5,69.4,triple_bottom_breakout,2012-02-02 08:00:00,2013-01-15 08:00:00,2013-04-05 07:00:00,1497.0,1536.0,1626.0,1553.0,4.7,1836.0,294,2013-05-14 07:00:00,13,10.6,,8.73,Severn Trent,STOXX 600,Europe,0.359,2013-06-03,2030.609130859375,1676.0330810546875,-17.46,-1.39,-16.07,1854.0806884765625,-8.69,7.3,-15.99,1679.0169677734375,-17.31,0.1,-17.41,1736.7080078125,-14.47,11.25,-25.72,1696.2469482421875,-16.47,14.14,-30.61
1,VRTX,80.43,79.1,56.39,42.6,55.5,triple_bottom_breakout,2011-09-06 13:30:00,2012-07-31 13:30:00,2013-02-26 14:30:00,43.25,46.03,43.69,44.32,3.85,66.1,369,2013-04-19 13:30:00,50,21.68,,14.85,Vertex Pharmaceuticals,S&P 500,US,0.6304,2013-07-01,80.43000030517578,79.80000305175781,-0.78,4.56,-5.34,65.13999938964844,-19.01,11.14,-30.15,75.81999969482422,-5.73,4.63,-10.36,73.88999938964844,-8.13,15.1,-23.23,74.30000305175781,-7.62,15.64,-23.26
2,PPC,9.8,7.62,5.44,80.0,75.5,triple_bottom_breakout,2011-03-10 14:30:00,2012-05-09 13:30:00,2012-12-31 14:30:00,6.83,6.73,6.88,6.81,1.22,8.68,455,2013-06-07 13:30:00,16,12.87,,3.75,Pilgrim's Pride,S&P MidCap 400,US,0.61465,2013-07-01,9.797049522399902,10.642285346984863,8.63,4.56,4.07,10.040375709533691,2.48,11.14,-8.66,10.744738578796387,9.67,4.63,5.04,10.533429145812988,7.52,15.1,-7.58,10.405363082885742,6.21,15.64,-9.43
3,LOPE,33.46,30.25,25.29,32.3,68.6,triple_bottom_breakout,2010-05-14 13:30:00,2013-03-04 14:30:00,2013-05-02 13:30:00,24.09,22.99,24.3,23.79,3.38,27.18,746,2013-05-08 13:30:00,37,23.11,,5.07,Grand Canyon Education,S&P MidCap 400,US,0.42774999999999996,2013-07-01,33.459999084472656,33.81999969482422,1.08,4.56,-3.48,44.150001525878906,31.95,11.14,20.81,40.2400016784668,20.26,4.63,15.63,43.58000183105469,30.25,15.1,15.15,43.599998474121094,30.3,15.64,14.66
4,BYD,10.68,11.35,7.54,41.7,47.1,triple_bottom_breakout,2011-08-23 13:30:00,2012-07-25 13:30:00,2012-11-15 14:30:00,4.91,5.17,4.75,4.94,4.59,9.75,310,2013-04-24 13:30:00,47,9.59,,4.75,Boyd Gaming,S&P MidCap 400,US,0.3897166666666667,2013-07-01,10.684916496276855,12.420634269714355,16.24,4.56,11.68,9.117175102233887,-14.67,11.14,-25.81,13.20450210571289,23.58,4.63,18.95,10.600933074951172,-0.79,15.1,-15.89,10.507616996765137,-1.66,15.64,-17.3
5,CIEN,19.46,17.03,15.48,25.7,59.1,triple_bottom_breakout,2012-04-10 13:30:00,2013-01-15 14:30:00,2013-04-22 13:30:00,15.04,14.37,14.14,14.52,3.61,18.39,258,2013-06-06 13:30:00,17,5.82,,7.15,Ciena,S&P 500,US,0.3406666666666667,2013-07-01,19.459999084472656,22.059999465942383,13.36,4.56,8.8,22.049999237060547,13.31,11.14,2.17,25.010000228881836,28.52,4.63,23.89,23.84000015258789,22.51,15.1,7.41,23.93000030517578,22.97,15.64,7.33
1,PPC,11.39,9.13,6.21,83.5,81.8,triple_bottom_breakout,2011-03-10 14:30:00,2012-05-09 13:30:00,2012-12-31 14:30:00,6.83,6.73,6.88,6.81,1.22,8.68,455,2013-06-07 13:30:00,38,31.24,,3.75,Pilgrim's Pride,S&P MidCap 400,US,0.7178,2013-08-01,11.391470909118652,9.816259384155273,-13.83,-4.11,-9.72,10.623075485229492,-6.75,8.06,-14.81,9.015847206115723,-20.85,3.8,-24.65,10.71272087097168,-5.96,5.48,-11.44,10.405363082885742,-8.66,9.34,-18.0
2,XPO,8.69,6.66,5.88,47.9,77.7,triple_bottom_breakout,2012-04-11 13:30:00,2013-03-04 14:30:00,2013-05-30 13:30:00,5.45,5.73,5.63,5.61,2.71,6.71,284,2013-07-15 13:30:00,13,29.54,,5.44,"XPO, Inc.",S&P MidCap 400,US,0.5507666666666666,2013-08-01,8.691308975219727,7.940805912017822,-8.64,-4.11,-4.53,9.095958709716797,4.66,8.06,-3.4,7.3009772300720215,-16.0,3.8,-19.8,8.618680000305176,-0.84,5.48,-6.32,9.092499732971191,4.62,9.34,-4.72
3,CIEN,22.52,19.89,16.36,37.7,62.9,triple_bottom_breakout,2012-04-10 13:30:00,2013-01-15 14:30:00,2013-04-22 13:30:00,15.04,14.37,14.14,14.52,3.61,18.39,258,2013-06-06 13:30:00,39,22.46,,7.15,Ciena,S&P 500,US,0.48386666666666667,2013-08-01,22.520000457763672,19.920000076293945,-11.55,-4.11,-7.44,22.850000381469727,1.47,8.06,-6.59,23.540000915527344,4.53,3.8,0.73,23.329999923706055,3.6,5.48,-1.88,23.93000030517578,6.26,9.34,-3.08
4,LOPE,34.32,33.35,26.56,29.2,49.7,triple_bottom_breakout,2010-05-14 13:30:00,2013-03-04 14:30:00,2013-05-02 13:30:00,24.09,22.99,24.3,23.79,3.38,27.18,746,2013-05-08 13:30:00,59,26.27,,5.07,Grand Canyon Education,S&P MidCap 400,US,0.42805000000000004,2013-08-01,34.31999969482422,34.5099983215332,0.55,-4.11,4.66,44.529998779296875,29.75,8.06,21.69,47.88999938964844,39.54,3.8,35.74,43.81999969482422,27.68,5.48,22.2,43.599998474121094,27.04,9.34,17.7
5,ALGN,43.99,38.06,32.24,36.4,71.0,triple_bottom_breakout,2011-05-25 13:30:00,2012-02-01 14:30:00,2012-12-06 14:30:00,22.36,23.4,23.45,23.07,3.08,39.82,386,2013-07-19 13:30:00,9,10.47,,4.35,Align Technology,S&P 500,US,0.37605,2013-08-01,43.9900016784668,43.54999923706055,-1.0,-4.11,3.11,58.040000915527344,31.94,8.06,23.88,56.779998779296875,29.07,3.8,25.27,59.41999816894531,35.08,5.48,29.6,57.13999938964844,29.89,9.34,20.55
6,SDLF.L,560.5,506.69,455.92,22.9,74.7,triple_bottom_breakout,2011-04-18 07:00:00,2013-03-21 08:00:00,2013-06-25 07:00:00,467.87,461.52,472.13,467.17,1.21,531.92,549,2013-07-12 07:00:00,14,5.37,,5.74,Standard Life,STOXX 600,Europe,0.32491666666666663,2013-08-01,560.5047607421875,583.2279052734375,4.05,-4.11,8.16,530.0158081054688,-5.44,8.06,-13.5,594.7998046875,6.12,3.8,2.32,554.6414184570312,-1.05,5.48,-6.53,551.2316284179688,-1.65,9.34,-10.99
1,CELH,0.18,0.13,0.09,99.3,58.8,triple_bottom_breakout,2012-06-08 13:30:00,2012-10-18 13:30:00,2013-07-29 13:30:00,0.09,0.09,0.09,0.09,0.0,0.13,284,2013-08-21 13:30:00,8,37.5,,10.98,Celsius Holdings,S&P MidCap 400,US,0.8795000000000001,2013-09-03,0.18333299458026886,0.16666699945926666,-9.09,3.42,-12.51,0.11333300173282623,-38.18,9.4,-47.58,0.163332998752594,-10.91,10.35,-21.26,0.1466670036315918,-20.0,15.39,-35.39,0.11333300173282623,-38.18,13.51,-51.69
